time, Quad.IMU.AX
1.625020,0.497791
1.630020,0.127611
1.635020,0.502903
1.640021,-0.177591
1.645021,-0.370143
1.650021,-0.138163
1.655021,-0.670436
1.660022,-0.668449
1.665022,0.192075
1.670022,0.441107
1.675022,0.201034
1.680022,1.393869
1.685023,0.482513
1.690023,0.445993
1.695023,0.207014
1.700023,0.067127
1.705024,0.411019
1.710024,1.025590
1.715024,0.392134
1.720024,0.087154
1.725025,-0.203129
1.730025,-0.038155
1.735025,0.538511
1.740025,0.101570
1.745026,-0.639975
1.750026,0.114318
1.755026,-0.294616
1.760026,0.439471
1.765026,-0.450064
1.770027,0.168033
1.775027,0.791916
1.780027,0.245884
1.785027,-0.045406
1.790028,-0.192337
1.795028,0.099961
1.800028,-0.233873
1.805028,0.245728
1.810029,-0.997327
1.815029,-0.858522
1.820029,-0.221355
1.825029,-0.667676
1.830029,-1.259396
1.835030,0.403199
1.840030,0.813626
1.845030,0.149196
1.850030,0.083020
1.855031,0.149598
1.860031,-0.216483
1.865031,-0.699597
1.870031,0.292714
1.875032,-0.777632
1.880032,0.277130
1.885032,0.392391
1.890032,1.289214
1.895033,0.189593
1.900033,-0.296108
1.905033,0.806071
1.910033,0.007530
1.915033,0.080284
1.920034,1.083568
1.925034,-0.198062
1.930034,-0.641622
1.935034,0.141637
1.940035,0.492421
1.945035,-0.284111
1.950035,-0.455912
1.955035,0.437892
1.960036,-0.539053
1.965036,0.085636
1.970036,-0.619625
1.975036,-1.044906
1.980036,0.447598
1.985037,0.934786
1.990037,-0.939244
1.995037,0.030358
2.000037,-1.285195
2.005037,0.439347
2.010037,1.192570
2.015036,-0.932769
2.020036,-0.429692
2.025036,-0.787586
2.030035,0.556322
2.035035,0.052194
2.040035,0.179500
2.045034,0.920559
2.050034,0.506833
2.055033,0.482721
2.060033,-0.212099
2.065033,-0.136762
2.070032,0.031781
2.075032,0.504839
2.080032,-0.300327
2.085031,0.167017
2.090031,-0.741426
2.095031,-0.062415
2.100030,0.295743
2.105030,-0.493091
2.110029,0.390674
2.115029,0.768030
2.120029,0.213752
2.125028,0.432763
2.130028,-1.481632
2.135028,0.171858
2.140027,-0.683628
2.145027,-1.125556
2.150027,-0.019090
2.155026,0.212248
2.160026,0.523458
2.165025,0.579974
2.170025,-0.065914
2.175025,-0.354584
2.180024,-0.446029
2.185024,0.279948
2.190024,-0.205718
2.195023,-0.255927
2.200023,0.134869
2.205023,-0.392546
2.210022,0.405560
2.215022,0.532932
2.220021,-0.384689
2.225021,0.059683
2.230021,0.251426
2.235020,-0.321656
2.240020,0.777099
2.245020,0.602742
2.250019,0.404544
2.255019,0.374023
2.260019,-0.056373
2.265018,0.431302
2.270018,0.521659
2.275017,0.185227
2.280017,-0.286348
2.285017,-0.039891
2.290016,-0.125672
2.295016,0.008885
2.300016,0.677863
2.305015,0.122505
2.310015,-0.070784
2.315015,0.237686
2.320014,0.210853
2.325014,-0.116626
2.330014,0.556835
2.335013,-0.166145
2.340013,0.127307
2.345012,0.756249
2.350012,-0.481710
2.355012,-0.230785
2.360011,0.256447
2.365011,0.171414
2.370011,0.598732
2.375010,0.545601
2.380010,-0.191587
2.385010,0.315291
2.390009,-0.807665
2.395009,0.287843
2.400008,-0.220736
2.405008,-0.287708
2.410008,-0.769394
2.415007,-0.432000
2.420007,-1.085648
2.425007,0.220309
2.430006,-0.642713
2.435006,0.732356
2.440006,-0.643899
2.445005,-0.138150
2.450005,0.609963
2.455004,0.880458
2.460004,1.017231
2.465004,-0.263903
2.470003,-0.246982
2.475003,0.504404
2.480003,-0.061168
2.485002,-0.867374
2.490002,0.055505
2.495002,0.699185
2.500001,-0.548099
2.505001,-0.022875
2.510000,0.127955
2.515000,0.203208
2.520000,-0.958146
2.524999,-0.368808
2.529999,-0.579386
2.534999,0.047051
2.539998,-0.937736
2.544998,0.161784
2.549998,0.206323
2.554997,-0.278849
2.559997,0.098198
2.564996,0.451280
2.569996,-0.646498
2.574996,-0.344677
2.579995,-0.324955
2.584995,0.558385
2.589995,-0.523609
2.594994,-0.533284
2.599994,0.106435
2.604994,0.489776
2.609993,-0.602271
2.614993,0.503503
2.619992,0.614886
2.624992,0.023571
2.629992,-0.279132
2.634991,0.372457
2.639991,-0.510545
2.644991,-0.139105
2.649990,0.133597
2.654990,-0.829014
2.659990,0.167133
2.664989,0.928098
2.669989,-0.081313
2.674989,-0.045565
2.679988,0.124211
2.684988,0.167091
2.689987,0.091750
